BALCONY_GUARDS,CONFIRMED_STOREYS,CONFIRMED_UNITS,ELEVATORS,ENTRANCE_DOORS_WINDOWS,ENTRANCE_LOBBY,EVALUATION_COMPLETED_ON,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,GARBAGE_BIN_STORAGE_AREA,GARBAGE_CHUTE_ROOMS,GRAFFITI,GRID,INTERIOR_LIGHTING_LEVELS,INTERIOR_WALL_CEILING_FLOOR,INTERNAL_GUARDS_HANDRAILS,LATITUDE,LAUNDRY_ROOMS,LONGITUDE,NO_OF_AREAS_EVALUATED,OTHER_FACILITIES,PARKING_AREA,PROPERTY_TYPE,RESULTS_OF_SCORE,RSN,SCORE,SECURITY,SITE_ADDRESS,STAIRWELLS,STORAGE_AREAS_LOCKERS,WARD,WARDNAME,WATER_PEN_EXT_BLDG_ELEMENTS,X,Y,YEAR_BUILT,YEAR_EVALUATED,YEAR_REGISTERED,_id
4,6,100,4,4,4,2020-11-19,4,4,4,4,4,5,E2430,4,4,4,43.7589413888,4,-79.2213676768,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152817,80,4,70 STEVENVALE DR,4,4,24,Scarborough-Guildwood,4,327220.556,4846368.19,1963,2020,2017,31473
3,3,12,N/A,3,3,2020-11-19,3,4,4,4,N/A,5,S1937,4,3,4,43.668927772,4,-79.315350573,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4288860,74,4,1981 DUNDAS ST E,3,4,19,Beaches-East York,4,319674.841,4836347.995,1958,2020,2017,31474
4,3,10,N/A,4,4,2020-11-19,4,4,4,4,N/A,4,N0823,4,4,4,43.7311946993,4,-79.4353275935,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154506,80,4,10 WASDALE CRES,4,4,08,Eglinton-Lawrence,4,309994.519,4843250.185,1956,2020,2017,31475
5,6,98,5,3,5,2020-11-19,5,3,3,5,5,3,S1432,3,3,5,43.6778029989,5,-79.3304925488,20,5,3,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153656,86,5,100 UNITY RD,5,5,14,Toronto-Danforth,5,318452.018,4837330.443,1985,2020,2017,31476
5,8,174,5,3,5,2020-11-19,5,4,3,5,5,4,S1432,5,3,5,43.6779324239,5,-79.3299297782,20,5,4,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153655,90,5,110 UNITY RD,4,5,14,Toronto-Danforth,5,318497.365,4837344.914,1983,2020,2017,31477
4,24,285,4,4,4,2020-11-19,4,4,5,4,3,4,E2028,4,4,5,43.6965267454,4,-79.2862044067,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152598,79,5,10 TEESDALE PL,4,2,20,Scarborough Southwest,4,322017.663,4839418.771,1968,2020,2017,31478
3,24,284,4,4,4,2020-11-19,4,4,5,4,3,5,E2028,4,4,5,43.6959726218,4,-79.2874840709,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152597,82,5,20 TEESDALE PL,4,4,20,Scarborough Southwest,4,321914.674,4839356.947,1970,2020,2017,31479
3,6,55,4,4,4,2020-11-19,4,4,5,4,N/A,5,W0222,4,3,4,,4,,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 2 years,4155365,78,4,333 DIXON RD,4,2,02,Etobicoke Centre,3,300298.134,4839176.844,1961,2020,2017,31480
4,29,584,4,4,4,2020-11-19,3,4,3,3,3,4,S1930,3,3,4,43.695055074,4,-79.291784761,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154037,72,4,7 CRESCENT PL,4,N/A,19,Beaches-East York,4,321568.003,4839255.097,1971,2020,2017,31481
4,29,587,4,4,4,2020-11-19,3,4,3,3,3,4,S1930,4,3,4,43.695648592,4,-79.291287219,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4284986,72,4,9 CRESCENT PL,3,N/A,19,Beaches-East York,4,321619.854,4839297.583,1971,2020,2017,31482
4,29,159,4,3,4,2020-11-19,3,3,3,3,3,4,S1930,4,4,3,43.695136718,4,-79.290535808,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156314,70,4,11 CRESCENT PL,3,N/A,19,Beaches-East York,4,321603.253,4839337.069,1971,2020,2017,31483
3,9,106,4,4,3,2020-11-19,3,4,4,4,3,4,W0539,4,3,4,43.6730591704,3,-79.4935959279,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155180,72,5,777 JANE ST,4,N/A,05,York South-Weston,3,305300.77,4836789.64,1964,2020,2017,31484
4,11,212,4,4,4,2020-11-19,3,4,4,3,4,3,S1322,3,4,3,43.6680608437,4,-79.3797733761,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153530,72,4,100 GLOUCESTER ST,3,N/A,13,Toronto Centre,4,314480.036,4836241.251,1960,2020,2017,31485
4,11,221,4,4,4,2020-11-19,3,4,4,4,N/A,5,S1322,3,4,4,43.6684688832,4,-79.3799631196,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153529,78,4,105 ISABELLA ST,4,4,13,Toronto Centre,3,314464.668,4836286.561,1960,2020,2017,31486
N/A,3,20,3,3,2,2020-11-19,3,3,4,3,N/A,3,S1322,4,3,4,43.6690212378,3,-79.3777377733,15,N/A,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 1 year,4153520,63,3,127 ISABELLA ST,3,N/A,13,Toronto Centre,3,314644.039,4836348.18,1901,2020,2017,31487
4,20,116,4,4,4,2020-11-19,4,5,5,4,4,5,S1322,4,4,5,43.6686022914,4,-79.3782174627,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153526,85,5,10 HUNTLEY ST,4,4,13,Toronto Centre,4,314605.424,4836301.582,1960,2020,2017,31488
4,3,45,N/A,4,4,2020-11-19,4,4,4,3,N/A,5,W0129,4,4,3,43.73108456,4,-79.576700252,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155428,73,4,35 JANSUSIE RD,3,2,01,Etobicoke North,3,298674.512,4842987.092,1963,2020,2017,31489
4,3,12,N/A,4,4,2020-11-19,4,4,3,4,N/A,4,N0823,4,4,4,43.733256976,3,-79.4341048887,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154522,78,4,16 HOTSPUR RD,4,N/A,08,Eglinton-Lawrence,4,310075.362,4843467.916,1956,2020,2017,31490
5,3,11,N/A,5,4,2020-11-19,3,4,3,5,N/A,5,S1432,3,3,5,43.679932553,5,-79.3224960568,16,N/A,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153657,83,5,570 COXWELL AVE,4,N/A,14,Toronto-Danforth,3,319096.268,4837568.387,1990,2020,2017,31491
3,4,42,N/A,4,4,2020-11-19,3,3,3,3,N/A,5,S0429,4,4,3,43.6597146756,3,-79.4617878892,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152941,72,5,205 KEELE ST,4,3,04,Parkdale-High Park,4,307866.434,4835307.806,1958,2020,2017,31492
2,6,55,4,4,4,2020-11-19,3,5,5,2,N/A,5,W0222,4,3,4,43.694646278,4,-79.555063829,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156720,74,4,327 DIXON RD,4,N/A,02,Etobicoke Centre,3,300345.581,4839190.371,1962,2020,2017,31493
4,3,11,N/A,4,4,2020-11-19,4,4,4,4,N/A,5,N0823,4,4,4,43.7325879677,4,-79.4347019262,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154518,78,1,25 HOTSPUR RD,4,N/A,08,Eglinton-Lawrence,4,310044.798,4843405.008,1956,2020,2017,31494
4,3,12,N/A,4,4,2020-11-19,4,4,4,4,N/A,4,N0823,4,4,4,43.7330022044,3,-79.4353409196,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154526,75,1,26 HOTSPUR RD,4,N/A,08,Eglinton-Lawrence,4,309977.291,4843434.838,1957,2020,2017,31495
4,11,263,5,4,4,2020-11-19,4,5,4,4,4,5,E2229,4,5,5,43.78385662,5,-79.294501805,19,5,4,PRIVATE,Evaluation needs to be conducted in 3 years,4155796,89,5,125 BONIS AVE,4,N/A,22,Scarborough-Agincourt,5,321346.372,4849113.023,1976,2020,2017,31496
5,4,29,5,4,5,2020-11-19,4,4,4,4,N/A,5,N0629,4,4,4,43.7434082463,5,-79.4360131728,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4255639,84,5,3892 BATHURST ST,3,4,06,York Centre,4,309938.259,4844606.96,1958,2020,2017,31497
5,4,29,5,4,5,2020-11-19,4,4,4,3,N/A,5,N0629,5,5,4,43.7437026681,5,-79.4360783017,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4255640,89,5,3894 BATHURST ST,4,4,06,York Centre,4,309932.99,4844639.667,1958,2020,2017,31498
5,4,30,4,4,5,2020-11-19,3,4,4,3,N/A,5,N0629,4,5,4,43.7439610802,5,-79.4361472401,18,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154591,86,5,3896 BATHURST ST,4,4,06,York Centre,4,309927.417,4844668.373,1958,2020,2017,31499
4,4,77,4,5,5,2020-11-19,4,4,5,5,N/A,5,N1628,5,4,4,43.7290550556,5,-79.3049498934,17,N/A,5,PRIVATE,Evaluation needs to be conducted in 3 years,4154864,92,5,2 BIGGIN CRT,4,N/A,16,Don Valley East,5,320498.183,4843028.87,1955,2020,2017,31500
5,4,55,4,5,5,2020-11-19,5,4,4,4,N/A,5,N1628,5,5,5,43.7282648735,4,-79.3058539405,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154867,91,5,3 BIGGIN CRT,4,4,16,Don Valley East,5,320425.555,4842940.919,1955,2020,2017,31501
5,4,65,5,5,5,2020-11-19,5,5,5,4,4,5,N1628,5,5,4,43.7279966031,4,-79.3068020912,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154866,93,5,5 BIGGIN CRT,4,4,16,Don Valley East,5,320349.24,4842910.937,1955,2020,2017,31502
N/A,4,36,3,4,4,2020-11-19,4,4,4,4,N/A,5,S0430,4,4,3,43.645605233,4,-79.473469677,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152901,80,5,9 MORNINGSIDE AVE,4,4,04,Parkdale-High Park,4,306924.468,4833740.943,1957,2020,2017,31503
4,4,20,N/A,4,4,2020-11-19,4,4,3,3,N/A,4,S1926,4,4,4,43.6971816506,4,-79.3064438643,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154079,78,4,327 CHISHOLM AVE,4,4,19,Beaches-East York,4,320386.052,4839487.593,1962,2020,2018,31504
4,12,141,3,4,4,2020-11-19,4,4,3,2,4,5,W0221,3,4,4,43.682156045,4,-79.5643051616,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4156583,74,5,60 CALLOWHILL DR,3,2,02,Etobicoke Centre,5,299650.165,4837805.9,1968,2020,2017,31505
N/A,4,26,N/A,4,3,2020-11-19,4,4,4,3,N/A,5,W0336,4,4,3,43.609303547,3,-79.4892009672,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155494,76,5,2547 LAKE SHORE BLVD W,4,4,03,Etobicoke-Lakeshore,4,305656.036,4829706.813,1952,2020,2017,31506
4,12,159,4,4,4,2020-11-19,4,4,4,4,4,5,E2430,4,4,4,43.7506077851,4,-79.2210328403,19,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152810,81,4,421 MARKHAM RD,4,N/A,24,Scarborough-Guildwood,4,327250.617,4845442.448,1969,2020,2017,31507
4,8,115,4,4,4,2020-11-19,4,4,4,4,4,5,E2430,4,4,4,43.756754208,4,-79.223973575,19,4,4,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4152812,81,4,525 MARKHAM RD,4,N/A,24,Scarborough-Guildwood,4,327027.681,4846037.557,1995,2020,2017,31508
N/A,3,36,N/A,4,4,2020-11-19,4,4,4,4,N/A,5,S0436,4,4,3,43.6377806623,3,-79.4379497225,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153016,79,5,22 MAYNARD AVE,4,N/A,04,Parkdale-High Park,4,309790.944,4832872.164,1978,2020,2017,31509
N/A,4,26,N/A,4,4,2020-11-19,4,4,4,3,N/A,5,W0336,4,4,3,43.6090432374,4,-79.4898363283,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155492,80,5,2555 LAKE SHORE BLVD W,4,N/A,03,Etobicoke-Lakeshore,4,305704.944,4829683.294,1952,2020,2017,31510
N/A,4,26,N/A,4,4,2020-11-19,4,4,4,3,N/A,5,W0336,4,4,3,43.6090936183,4,-79.4886161506,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155490,80,5,2559 LAKE SHORE BLVD W,4,N/A,03,Etobicoke-Lakeshore,4,305607.776,4829677.695,1952,2020,2017,31511
N/A,4,14,N/A,4,4,2020-11-19,4,4,4,4,N/A,5,W0336,4,4,3,43.6088644692,N/A,-79.4900435258,14,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155489,80,5,2561 LAKE SHORE BLVD W,4,N/A,03,Etobicoke-Lakeshore,4,305588.026,4829658.026,1952,2020,2017,31512
N/A,3,21,N/A,4,4,2020-11-19,2,4,4,4,3,2,S0435,4,4,4,43.6410463174,4,-79.4371700849,15,N/A,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153065,73,5,10 LANSDOWNE AVE,4,N/A,04,Parkdale-High Park,3,309853.582,4833234.996,1897,2020,2017,31513
4,3,10,N/A,4,3,2020-11-19,3,3,3,4,N/A,5,S1939,3,4,4,43.6711166025,4,-79.2979955323,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153685,73,4,97 LEE AVE,3,4,19,Beaches-East York,4,321074.04,4836593.47,1917,2020,2017,31514
N/A,3,11,N/A,3,3,2020-11-19,3,3,2,5,N/A,5,E2035,4,3,3,43.70777445,3,-79.248713747,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152585,68,4,20 PELL ST,3,N/A,20,Scarborough Southwest,4,325033.789,4840699.303,1960,2020,2017,31515
N/A,3,10,N/A,3,3,2020-11-19,3,3,3,4,N/A,5,E2035,4,3,3,43.707978054,3,-79.248780872,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156249,69,4,22 PELL ST,3,N/A,20,Scarborough Southwest,4,325050.664,4840714.735,1960,2020,2017,31516
4,4,50,4,4,4,2020-11-19,4,4,4,4,N/A,5,W0327,5,4,4,43.6398570764,4,-79.4888378299,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155289,83,5,25 RIVERWOOD PKWY,4,4,03,Etobicoke-Lakeshore,4,305684.946,4833101.147,1958,2020,2017,31517
N/A,4,31,N/A,3,4,2020-11-18,3,4,4,4,N/A,3,S1924,4,3,4,43.707880094,4,-79.302844655,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154067,72,4,2890 ST CLAIR AVE E,3,N/A,19,Beaches-East York,4,320715.28,4840691.633,1960,2020,2017,31518
N/A,4,34,N/A,4,4,2020-11-18,4,4,4,4,N/A,4,S1924,4,4,3,43.70796583,4,-79.302427359,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154066,77,3,2892 ST CLAIR AVE E,4,N/A,19,Beaches-East York,4,320686.3,4840682.162,1955,2020,2017,31519
N/A,5,60,3,4,4,2020-11-18,3,4,3,4,N/A,4,S1322,4,4,4,43.665901023,3,-79.381806918,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153513,69,3,64 WELLESLEY ST E,3,3,13,Toronto Centre,3,314316.121,4836002.031,1929,2020,2017,31520
N/A,6,48,4,4,4,2020-11-18,3,4,4,4,N/A,3,S1322,4,4,5,43.6668374681,4,-79.3774688112,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153505,79,4,110 WELLESLEY ST E,4,N/A,13,Toronto Centre,4,314666.097,4836105.602,1931,2020,2019,31521
4,4,15,N/A,4,4,2020-11-18,4,4,3,4,N/A,4,S1924,4,4,4,43.708477676,4,-79.3002028238,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154063,79,4,2920 ST CLAIR AVE E,4,4,19,Beaches-East York,4,320886.13,4840743.72,1956,2020,2017,31522
N/A,4,16,N/A,4,4,2020-11-18,4,4,4,4,N/A,3,S1924,4,4,4,43.7085088591,4,-79.2998972117,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154062,79,4,2922 ST CLAIR AVE E,4,N/A,19,Beaches-East York,4,320910.751,4840747.242,1956,2020,2017,31523
4,4,40,5,5,3,2020-11-18,4,4,4,5,3,5,N1627,5,3,5,43.7328694869,3,-79.3418228518,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154790,83,5,2 THE DONWAY E,4,N/A,16,Don Valley East,4,317526.801,4843446.279,1950,2020,2017,31524
4,4,40,5,5,3,2020-11-18,4,4,4,4,3,5,N1627,5,3,4,43.7330607404,3,-79.340845323,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154789,81,5,4 THE DONWAY E,4,N/A,16,Don Valley East,4,317590.117,4843465.219,1950,2020,2017,31525
N/A,4,45,N/A,4,4,2020-11-18,4,3,4,4,N/A,5,S1222,4,4,4,43.6932352888,3,-79.4417901487,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155035,80,5,641 VAUGHAN RD,4,N/A,12,Toronto-St. Paul's,5,309476.779,4839032.662,1955,2020,2017,31526
N/A,4,32,N/A,4,4,2020-11-18,3,4,4,4,N/A,5,S1229,4,4,4,43.6842251422,4,-79.4217235507,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154964,79,5,118 VAUGHAN RD,3,N/A,12,Toronto-St. Paul's,4,311095.282,4838032.994,1929,2020,2017,31527
4,3,11,N/A,4,4,2020-11-18,4,3,4,4,N/A,4,N0823,4,4,4,43.730975673,4,-79.4363599981,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154507,76,4,24 WASDALE CRES,4,4,08,Eglinton-Lawrence,3,309911.368,4843225.786,1950,2020,2017,31528
4,3,10,N/A,4,3,2020-11-18,3,4,4,4,N/A,4,N0823,3,3,4,43.7308801884,3,-79.4368395679,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154509,74,4,30 WASDALE CRES,4,4,08,Eglinton-Lawrence,4,309872.742,4843215.149,1956,2020,2017,31529
4,3,11,N/A,4,4,2020-11-18,3,3,3,4,N/A,4,N0823,4,4,4,43.7307766314,3,-79.4372931994,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154511,69,1,34 WASDALE CRES,4,3,08,Eglinton-Lawrence,4,309836.206,4843203.617,1965,2020,2017,31530
4,3,28,N/A,4,4,2020-11-18,4,4,4,4,N/A,4,N0823,4,4,4,43.7302657886,4,-79.4369391147,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154543,80,4,47 WASDALE CRES,4,4,08,Eglinton-Lawrence,4,309864.775,4843146.886,1950,2020,2017,31531
3,22,294,4,4,5,2020-11-18,3,3,4,3,4,4,S0435,3,4,3,43.6399998042,4,-79.4436738938,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153066,74,5,55 TRILLER AVE,4,3,04,Parkdale-High Park,4,309328.926,4833118.38,1966,2020,2017,31532
N/A,3,41,4,4,4,2020-11-18,3,3,4,4,N/A,5,S1222,4,3,4,43.6957650601,3,-79.4490219345,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155031,71,3,1801 EGLINTON AVE W,3,2,12,Toronto-St. Paul's,4,308893.65,4839313.352,1960,2020,2021,31533
4,6,40,5,3,5,2020-11-18,4,5,4,4,N/A,5,S1422,5,3,5,43.6908769732,5,-79.3430214512,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 3 years,4154099,87,5,246 COSBURN AVE,5,4,14,Toronto-Danforth,3,317439.08,4838780.927,1955,2020,2017,31534
3,3,24,N/A,4,4,2020-11-18,4,4,4,5,N/A,5,E2030,3,4,4,43.7092676432,4,-79.2670048703,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4269230,78,4,508 DANFORTH RD,3,N/A,20,Scarborough Southwest,4,323561.223,4840838.393,1959,2020,2017,31535
N/A,5,39,4,4,4,2020-11-18,4,4,4,4,N/A,5,S1322,4,4,4,43.6688161394,4,-79.3759529086,15,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153525,80,4,40 EARL ST,3,N/A,13,Toronto Centre,4,314788.014,4836325.598,1929,2020,2017,31536
4,4,22,5,4,4,2020-11-18,4,3,4,4,N/A,5,S1322,4,4,4,43.6688638916,4,-79.3757306133,17,4,N/A,SOCIAL HOUSING,Evaluation needs to be conducted in 2 years,4153524,84,5,50 EARL ST,5,N/A,13,Toronto Centre,4,314805.933,4836330.929,1993,2020,2017,31537
N/A,4,24,N/A,3,5,2020-11-18,3,3,5,4,N/A,3,S1427,4,3,5,43.6807286698,5,-79.3371951618,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4153660,77,5,5 DONLANDS AVE,3,N/A,14,Toronto-Danforth,3,317910.956,4837654.388,1930,2020,2017,31538
N/A,4,14,N/A,4,4,2020-11-18,4,5,4,3,N/A,5,W0229,4,4,3,43.652203577,4,-79.525983776,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4156225,80,5,4754 DUNDAS ST W,4,N/A,02,Etobicoke Centre,3,302683.101,4834465.154,1950,2020,2017,31539
N/A,3,18,N/A,4,4,2020-11-18,4,5,5,4,N/A,5,S0426,4,4,3,43.6502220463,4,-79.4843917868,15,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4152919,83,5,29 JANE ST,4,N/A,04,Parkdale-High Park,4,306043.476,4834252.689,1910,2020,2017,31540
4,3,16,N/A,4,4,2020-11-18,3,4,4,4,N/A,5,S1322,3,5,4,43.6675167764,4,-79.3792333809,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4153507,81,5,510 JARVIS ST,4,N/A,13,Toronto Centre,4,314523.675,4836180.868,1888,2020,2017,31541
3,16,178,3,4,3,2020-11-18,3,4,1,4,4,5,W0222,3,3,4,43.6952084517,4,-79.5537109023,19,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155366,69,5,311 DIXON RD,4,3,02,Etobicoke Centre,3,300454.932,4839251.808,1968,2020,2017,31542
5,4,41,4,5,5,2020-11-18,3,4,5,5,5,3,S1434,5,3,5,43.6611021065,5,-79.3502357937,19,N/A,3,SOCIAL HOUSING,Evaluation needs to be conducted in 3 years,4153577,87,5,179 BROADVIEW AVE,5,5,14,Toronto-Danforth,3,316863.476,4835472.037,1992,2020,2017,31543
4,3,12,N/A,3,3,2020-11-18,3,4,4,3,N/A,4,S1930,4,3,4,43.6923773913,3,-79.3026696291,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154073,70,4,114 BARRINGTON AVE,3,N/A,19,Beaches-East York,3,320691.542,4838954.561,1968,2020,2017,31544
N/A,4,46,N/A,3,3,2020-11-18,4,3,4,4,N/A,5,E2035,4,3,3,43.702519583,3,-79.253065845,15,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152583,72,4,62 GLEN EVEREST RD,3,N/A,20,Scarborough Southwest,4,324686.511,4840092.937,1954,2020,2017,31545
N/A,3,21,N/A,4,4,2020-11-18,4,4,5,4,N/A,5,S0428,4,4,3,43.6538760484,3,-79.4649817406,14,N/A,N/A,PRIVATE,Evaluation needs to be conducted in 2 years,4152932,81,5,5 HIGH PARK AVE,4,N/A,04,Parkdale-High Park,4,307609.129,4834659.06,1926,2020,2017,31546
4,7,73,5,4,4,2020-11-18,4,4,4,3,N/A,5,S0436,4,4,4,43.6385987342,4,-79.4361728843,17,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4153034,81,5,177 JAMESON AVE,4,N/A,04,Parkdale-High Park,4,309934.239,4832963.146,1957,2020,2017,31547
4,6,200,4,4,4,2020-11-18,4,4,4,4,4,4,S1926,4,4,3,43.698524498,4,-79.311523697,18,N/A,4,TCHC,Evaluation needs to be conducted in 2 years,4154080,79,4,9 HALDON AVE,4,N/A,19,Beaches-East York,4,319975.998,4839636.799,1962,2020,2017,31548
3,11,131,4,4,4,2020-11-18,4,3,5,5,4,5,E2029,4,3,4,43.711075654,4,-79.270595187,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4167764,79,4,544 BIRCHMOUNT RD,3,4,20,Scarborough Southwest,4,323271.08,4841039.404,1969,2020,2017,31549
5,3,31,5,4,5,2020-11-18,4,4,4,3,N/A,5,N0629,4,4,4,43.7428392461,5,-79.4358673585,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154593,84,5,3888 BATHURST ST,4,4,06,York Centre,4,309950.049,4844543.753,1958,2020,2017,31550
5,4,30,4,4,5,2020-11-18,3,4,4,4,N/A,5,N0629,5,4,4,43.7431564667,5,-79.4359561971,18,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154592,84,5,3890 BATHURST ST,3,4,06,York Centre,4,309942.868,4844578.99,1958,2020,2017,31551
4,12,160,4,4,4,2020-11-18,4,4,4,4,4,4,E2430,5,4,4,43.750117696,4,-79.220863337,19,4,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152809,80,4,419 MARKHAM RD,4,N/A,24,Scarborough-Guildwood,3,327264.45,4845388.046,1970,2020,2017,31552
4,13,153,4,3,3,2020-11-18,4,4,4,3,3,5,W0124,3,3,3,43.7388442337,4,-79.578720865,18,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4155447,70,4,2435 KIPLING AVE,3,N/A,01,Etobicoke North,3,298443.619,4844101.085,1965,2020,2018,31553
4,3,10,N/A,4,3,2020-11-18,3,4,4,3,N/A,4,N0823,4,3,4,43.7316875988,4,-79.4383731359,17,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154500,73,4,93 NEPTUNE DR,3,3,08,Eglinton-Lawrence,4,309749.131,4843304.753,1960,2020,2017,31554
N/A,4,83,N/A,4,4,2020-11-18,3,4,3,4,N/A,4,S1924,4,3,4,43.7097238899,4,-79.3091926592,16,N/A,3,PRIVATE,Evaluation needs to be conducted in 2 years,4154064,74,4,1001 O'CONNOR DR,3,4,19,Beaches-East York,4,320161.322,4840880.499,1950,2020,2017,31555
4,19,218,4,5,3,2020-11-18,4,4,3,4,3,5,N1621,5,5,5,43.7628388267,4,-79.337948675,19,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4154803,84,5,135 FENELON DR,4,5,16,Don Valley East,4,317832.429,4846776.338,1965,2020,2017,31556
N/A,4,30,N/A,4,4,2020-11-18,4,4,4,3,N/A,5,W0335,3,4,3,43.6028754682,4,-79.4965836376,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4155509,76,5,2704 LAKE SHORE BLVD W,3,3,03,Etobicoke-Lakeshore,4,305060.126,4828992.645,1960,2020,2017,31557
3,9,148,4,3,4,2020-11-18,4,4,4,3,4,5,W0335,4,4,4,43.6013719933,4,-79.501536643,19,4,4,TCHC,Evaluation needs to be conducted in 2 years,4155517,79,5,2835 LAKE SHORE BLVD W,4,N/A,03,Etobicoke-Lakeshore,4,304660.286,4828825.602,1980,2020,2017,31558
N/A,3,13,N/A,3,3,2020-11-18,4,3,4,3,N/A,5,E2035,3,3,4,43.701030915,2,-79.25119809,16,N/A,4,PRIVATE,Evaluation needs to be conducted in 2 years,4152582,68,4,4 FOLCROFT AVE,3,2,20,Scarborough Southwest,4,324814.217,4839929.968,1960,2020,2017,31559
