organisation,"portée géographie, anglais","portée géographie, français","secteur, anglais","secteur, français",code postale,ville,code de la province,"nom de la région de patrimoine canadien, anglais","nom de la région de patrimoine canadien, français","nom de la province, anglais","nom de la province, français","nom de la région économique, anglais","nom de la région économique, français","nom de la division de recensement, anglais","nom de la division de recensement, français",nom de la subdivision de recensement,nom de la région métropolitaine de recensement,type de classification des secteurs statistiques (CSS),code de classification des secteurs statistiques (CSS),latitude,longitude,
Association francophone de Surrey,01 regional,01 régional,01 community development,01 développement communautaire,V3W4L9,Surrey,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Surrey,Vancouver,1,933,49.128193,-122.856674,SURREY
Association francophone des municipalités du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,09 governmental,09 gouvernemental,E8J1V1,Petit Rocher,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Gloucester,Gloucester,Petit Rocher,Bathurst,3,328,47.772696,-65.715332,PETIT-ROCHER
Association francophone des parents du Nouveau-Brunswick,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,E1A1H4,Dieppe,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Dieppe,Moncton,1,305,46.09737,-64.749446,DIEPPE
Association francophone du Labrador,01 regional,01 régional,01 community development,01 développement communautaire,A2V1L5,Labrador City,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,West Coast - Northern Peninsula - Labrador,Côte-ouest - Northern Peninsula - Labrador,Division No. 10,Division No. 10,Labrador City,,6,998,52.944785,-66.911171,LABRADOR CITY
Association franco-yukonnaise,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,Y1A2K1,Whitehorse,60,Western Region,Région de l'Ouest,Yukon,Yukon,Yukon Territory,Territoire du Yukon,Yukon,Yukon,Whitehorse,Whitehorse,3,990,60.72232,-135.057694,WHITEHORSE
Association fransaskoise de Zenon Park,01 regional,01 régional,01 community development,01 développement communautaire,S0E1W0,Zenon Park,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 14,Division No. 14,Zenon Park,,7,999,53.065228,-103.758101,ZENON PARK
Association jeunesse fransaskoise,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,S7J3M7,Saskatoon,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Saskatoon - Biggar,Saskatoon - Biggar,Division No. 11,Division No. 11,Saskatoon,Saskatoon,1,725,52.103107,-106.632797,SASKATOON
Association la Girandole,01 regional,01 régional,02 culture,02 culture,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Association Manitobaine du Patrimoine Francophone et Métis,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Association of English-Language Publishers of Quebec,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,H3Z1X4,Westmount,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Westmount,Montréal,1,462,45.488348,-73.583533,WESTMOUNT
Association ontarienne des sourd(e)s francophones,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,K1G6C3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.382401,-75.624189,OTTAWA
Association Radio Clare,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,B0W2Z0,Saulnierville,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.247535,-66.130314,SAULNIERVILLE
Association régionale de la côte ouest,01 regional,01 régional,01 community development,01 développement communautaire,A0N1R0,La Grand'Terre,10,Atlantic Region,Région de l'Atlantique,Newfoundland and Labrador,Terre-Neuve et Labrador,West Coast - Northern Peninsula - Labrador,Côte-ouest - Northern Peninsula - Labrador,Division No. 4,Division No. 4,"Division No.  4, Subd. E",,5,997,48.564872,-59.1807,LOURDES
Atwater Library of Mechanics' Institute of Montreal,01 regional,01 régional,02 culture,02 culture,H3Z1X4,Westmount,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Westmount,Montréal,1,462,45.488348,-73.583533,WESTMOUNT
Auberge Francophone d'Accueil et Service aux Refugies,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,M9V1A6,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.736254,-79.563376,ETOBICOKE
Auvergnois de Ponteix,01 regional,01 régional,01 community development,01 développement communautaire,S0N1Z0,Ponteix,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Swift Current - Moose Jaw,Swift Current - Moose Jaw,Division No. 3,Division No. 3,Ponteix,,6,998,49.7338,-107.41436,PONTEIX
Black Community Resource Centre,01 regional,01 régional,01 community development,01 développement communautaire,H3S2T6,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.503226,-73.637247,MONTREAL
Blue Metropolis Foundation,01 regional,01 régional,02 culture,02 culture,H4C2L7,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.481087,-73.582538,MONTREAL
Boussole centre communautaire société,01 regional,01 régional,01 community development,01 développement communautaire,V5T1X6,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.262484,-123.090177,VANCOUVER
Bureau des regroupements des artistes visuels de l'Ontario,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1N1C5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.285503,-75.72316,OTTAWA
Carrefour Beausoleil / Conseil Communautaire Beausoleil,01 regional,01 régional,01 community development,01 développement communautaire,E1V1A1,Miramichi,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Campbellton - Miramichi,Campbellton - Miramichi,Northumberland,Northumberland,Miramichi,Miramichi,3,329,47.0133,-65.586125,MIRAMICHI
Carrefour du Grand Havre / Conseil communautaire du Grand Havre,01 regional,01 régional,01 community development,01 développement communautaire,B2X3T4,Dartmouth,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.705914,-63.532023,DARTMOUTH
Carrefour francophone de Sudbury,01 regional,01 régional,01 community development,01 développement communautaire,P3C1Z2,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.493705,-80.994442,SUDBURY
Centre communautaire de Cambridge,01 regional,01 régional,01 community development,01 développement communautaire,N1R7Z1,Cambridge,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Waterloo,Waterloo,Cambridge,Kitchener - Cambridge - Waterloo,1,541,43.37816,-80.298052,CAMBRIDGE
Centre communautaire de Chatham-Kent la Girouette,01 regional,01 régional,01 community development,01 développement communautaire,N7M1E3,Chatham-Kent MU,35,Ontario,Ontario,Ontario,Ontario,Windsor - Sarnia,Windsor - Sarnia,Chatham-Kent,Chatham-Kent,Chatham-Kent,Chatham-Kent,3,556,42.405506,-82.186302,CHATHAM
Centre communautaire francophone Windsor Essex et Kent,01 regional,01 régional,01 community development,01 développement communautaire,N8T3P5,Windsor,35,Ontario,Ontario,Ontario,Ontario,Windsor - Sarnia,Windsor - Sarnia,Essex,Essex,Windsor,Windsor,1,559,42.298473,-82.925373,WINDSOR
Centre communautaire Franc-Ouest d'Ottawa-Carleton,01 regional,01 régional,01 community development,01 développement communautaire,K2E7V5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.334453,-75.707342,NEPEAN
Centre communautaire Le Griffon,01 regional,01 régional,01 community development,01 développement communautaire,L3B3Y4,St. Catharines,35,Ontario,Ontario,Ontario,Ontario,Hamilton - Niagara Peninsula,Hamilton - Niagara Peninsula,Niagara,Niagara,Welland,St. Catharines - Niagara,1,539,42.994973,-79.228261,WELLAND
Centre Communautaire Régional de London,01 regional,01 régional,01 community development,01 développement communautaire,N5Y4K4,London,35,Ontario,Ontario,Ontario,Ontario,London,London,Middlesex,Middlesex,London,London,1,555,43.014237,-81.235118,LONDON
Centre Culturel Aberdeen,01 regional,01 régional,02 culture,02 culture,E1C4X5,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.092831,-64.777542,MONCTON
Centre culturel Artem,01 regional,01 régional,02 culture,02 culture,P0J1P0,New Liskeard,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Timiskaming,Timiskaming,Temiskaming Shores,Temiskaming Shores,3,584,47.508275,-79.748845,NEW LISKEARD
Centre culturel du conseil de vie française de Cornwall,01 regional,01 régional,02 culture,02 culture,K6H5K1,Cornwall,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,"Stormont, Dundas and Glengarry","Stormont, Dundas and Glengarry",Cornwall,Cornwall,3,501,45.026025,-74.692689,CORNWALL
Centre culturel français de l'Okanagan,01 regional,01 régional,01 community development,01 développement communautaire,V1Y6P5,Kelowna,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Thompson - Okanagan,Thompson - Okanagan,Central Okanagan,Central Okanagan,Kelowna,Kelowna,1,915,49.886409,-119.485629,KELOWNA
Centre culturel franco-Manitobain,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Centre culturel francophone de Vancouver,01 regional,01 régional,02 culture,02 culture,V6J1S1,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.265568,-123.139694,VANCOUVER
Centre culturel francophone Jolliet,01 regional,01 régional,02 culture,02 culture,N7T7J9,Sarnia,35,Ontario,Ontario,Ontario,Ontario,Windsor - Sarnia,Windsor - Sarnia,Lambton,Lambton,Sarnia,Sarnia,2,562,42.970547,-82.408041,SARNIA
Centre culturel frontenac,01 regional,01 régional,01 community development,01 développement communautaire,K7M8N6,Kingston,35,Ontario,Ontario,Ontario,Ontario,Kingston - Pembroke,Kingston - Pembroke,Frontenac,Frontenac,Kingston,Kingston,1,521,44.250916,-76.512124,KINGSTON
Centre Culturel la Mine d'Art,01 regional,01 régional,02 culture,02 culture,P2N2V9,Kirkland Lake T,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Timiskaming,Timiskaming,Kirkland Lake,,6,998,48.143312,-80.033384,KIRKLAND LAKE
Centre culturel la ronde,01 regional,01 régional,02 culture,02 culture,P4N4V6,Timmins,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Timmins,Timmins,3,586,48.477837,-81.335118,TIMMINS
Centre culturel les compagnons des francs loisirs,01 regional,01 régional,01 community development,01 développement communautaire,P1B7A4,North Bay,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Nipissing,Nipissing,North Bay,North Bay,2,575,46.327093,-79.45877,NORTH BAY
Centre culturel les trois p'tits points,01 regional,01 régional,02 culture,02 culture,K0C1A0,Alexandria,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,"Stormont, Dundas and Glengarry","Stormont, Dundas and Glengarry",North Glengarry,,5,997,45.283586,-74.649675,ALEXANDRIA
Centre culturel Louis-Hémon de Chapleau,01 regional,01 régional,02 culture,02 culture,P0M1K0,Chapleau,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Sudbury,Sudbury,"Sudbury, Unorganized, North Part",,4,996,47.844803,-83.404233,CHAPLEAU
Centre d'Accueil et d'Intégration des Immigrants de Moncton,01 regional,01 régional,01 community development,01 développement communautaire,E1C1W8,Moncton,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Moncton - Richibucto,Moncton - Richibucto,Westmorland,Westmorland,Moncton,Moncton,1,305,46.090219,-64.786917,MONCTON
Centre d'artistes voix visuelle,01 regional,01 régional,02 culture,02 culture,K1M1L7,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.440937,-75.67439,OTTAWA
Centre de développement musical,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Centre de Société Artistique Ethnoculturelle Franco - Sans Frontières d'Ottawa,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,K1L6E8,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.433177,-75.669606,VANIER
Centre de théâtre francophone d'Ottawa-Carleton,01 regional,01 régional,02 culture,02 culture,K1N7M5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.43011,-75.68671,OTTAWA
Centre des femmes francophones du Nord-Ouest de l'Ontario,01 regional,01 régional,01 community development,01 développement communautaire,P7B6C6,Thunder Bay,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,1,595,48.426494,-89.232298,THUNDER BAY
Centre for Community Organizations,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,H2X2K5,Montréal,24,Quebec,Québec,Quebec,Québec,Montréal,Montréal,Montréal,Montréal,Montréal,Montréal,1,462,45.512016,-73.577045,MONTREAL
Centre français Hamilton,01 regional,01 régional,01 community development,01 développement communautaire,L8M1C4,Hamilton C,35,Ontario,Ontario,Ontario,Ontario,Hamilton - Niagara Peninsula,Hamilton - Niagara Peninsula,Hamilton,Hamilton,Hamilton,Hamilton,1,537,43.251205,-79.8357,HAMILTON
Centre franco-ontarien de folklore,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,P3E2C6,Greater Sudbury / Grand Sudbury C,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,Greater Sudbury / Grand Sudbury,1,580,46.467482,-80.982729,SUDBURY
Centre francophone BDS,01 regional,01 régional,01 community development,01 développement communautaire,S0K3Y0,Bellevue,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 15,Division No. 15,St. Louis No. 431,,5,997,52.308479,-105.446777,ST ISIDORE DE BELLEVUE
Centre francophone de Sault Ste. Marie,01 regional,01 régional,01 community development,01 développement communautaire,P6A4R8,Sault Ste. Marie,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Algoma,Algoma,Sault Ste. Marie,Sault Ste. Marie,2,590,46.524907,-84.262778,SAULT STE MARIE
Centre francophone de Toronto,01 regional,01 régional,01 community development,01 développement communautaire,M5G1K2,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.661023,-79.384432,TORONTO
Centre francophone des Battleford,01 regional,01 régional,01 community development,01 développement communautaire,S9A0R9,North Battleford,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 16,Division No. 16,North Battleford,North Battleford,3,735,52.784691,-108.300633,NORTH BATTLEFORD
Centre la Belle-Alliance,01 regional,01 régional,01 community development,01 développement communautaire,C1N6M9,Summerside,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Summerside,Summerside,3,110,46.420997,-63.819156,SUMMERSIDE
Centre provincial de ressources préscolaires,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,B0W2L0,La Butte,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Digby,Digby,Clare,,6,998,44.226535,-66.131644,METEGHAN RIVER
Centre régional de loisirs culturels,01 regional,01 régional,02 culture,02 culture,P5N1J6,Kapuskasing T,35,Ontario,Ontario,Ontario,Ontario,Northeast,Nord-est,Cochrane,Cochrane,Kapuskasing,,6,998,49.419272,-82.433577,KAPUSKASING
"Cercle de l'amitié Brampton, Malton",01 regional,01 régional,01 community development,01 développement communautaire,L5N7R6,Mississauga,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Peel,Peel,Mississauga,Toronto,1,535,43.621677,-79.738832,MISSISSAUGA
Cercle des canadiens français de Prince George,01 regional,01 régional,01 community development,01 développement communautaire,V2L1E7,Prince George,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Cariboo,Cariboo,Fraser-Fort George,Fraser-Fort George,Prince George,Prince George,2,970,53.90845,-122.736471,PRINCE GEORGE
Cercle molière,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,R2H0G7,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.893857,-97.114744,WINNIPEG
Cinéfranco,01 regional,01 régional,02 culture,02 culture,M4W2K9,Toronto,35,Ontario,Ontario,Ontario,Ontario,Toronto,Toronto,Toronto,Toronto,Toronto,Toronto,1,535,43.677674,-79.389659,TORONTO
Clé d'La Baie en Huronie - Association culturelle francophone,01 regional,01 régional,02 culture,02 culture,L9M2G3,Penetanguishene T,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Simcoe,Simcoe,Penetanguishene,Midland,3,571,44.769373,-79.934156,PENETANGUISHENE
Club Bon Accueil,01 regional,01 régional,01 community development,01 développement communautaire,V8A3P1,Powell River,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Vancouver Island and Coast,Ile de Vancouver et la côte,Powell River,Powell River,Powell River,Powell River,3,945,49.858667,-124.51292,POWELL RIVER
Club canadien-français de Geraldton,01 regional,01 régional,01 community development,01 développement communautaire,P0T1M0,Geraldton,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Greenstone,,6,998,49.711803,-86.952577,GERALDTON
Club canadien-français de Thunder Bay,01 regional,01 régional,01 community development,01 développement communautaire,P7B6C6,Thunder Bay,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Thunder Bay,Thunder Bay,1,595,48.426494,-89.232298,THUNDER BAY
Club connexion française - Peterborough,01 regional,01 régional,01 community development,01 développement communautaire,K9H4A9,Peterborough,35,Ontario,Ontario,Ontario,Ontario,Muskoka - Kawarthas,Muskoka - Kawarthas,Peterborough,Peterborough,Peterborough,Peterborough,1,529,44.30503,-78.325711,PETERBOROUGH
Club de la Radio Communautaire de Plamondon (Le) - Lac la Biche / Plamondon Community Radio Club,01 regional,01 régional,04 media and information technology,04 média et technologies de l'information,T0A2T0,Plamondon,48,Western Region,Région de l'Ouest,Alberta,Alberta,Wood Buffalo - Cold Lake,Wood Buffalo - Cold Lake,Division No. 12,Division No. 12,0,,5,997,54.846349,-112.346835,PLAMONDON
Club des francophones de Longlac,01 regional,01 régional,01 community development,01 développement communautaire,P0T2A0,Longlac,35,Ontario,Ontario,Ontario,Ontario,Northwest,Nord-ouest,Thunder Bay,Thunder Bay,Greenstone,,6,998,49.78052,-86.535119,LONGLAC
Club social 810 East Main Street,01 regional,01 régional,08 sport and leisure,08 sports et loisirs,L3B3Y4,Welland,35,Ontario,Ontario,Ontario,Ontario,Hamilton - Niagara Peninsula,Hamilton - Niagara Peninsula,Niagara,Niagara,Welland,St. Catharines - Niagara,1,539,42.994973,-79.228261,WELLAND
Coalition Action pour Enfants,01 regional,01 régional,01 community development,01 développement communautaire,C0B2E0,Abram-Village,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Lot 15,,4,996,46.457727,-64.067373,WELLINGTON STATION
Coalition des femmes de l'Alberta,02 provincial / territorial,02 provincial / territorial,01 community development,01 développement communautaire,T6C3N1,Edmonton,48,Western Region,Région de l'Ouest,Alberta,Alberta,Edmonton,Edmonton,Division No. 11,Division No. 11,Edmonton,Edmonton,1,835,53.522472,-113.467212,EDMONTON
Coasters Association of the Lower North Shore,01 regional,01 régional,01 community development,01 développement communautaire,G0G2P0,St-Paul River,24,Quebec,Québec,Quebec,Québec,Côte-Nord,Côte-Nord,Minganie--Basse-Côte-Nord,Minganie--Basse-Côte-Nord,Bonne-Espérance,,7,999,51.467984,-57.712909,RIVIERE-SAINT-PAUL
Collège Educacentre College,02 provincial / territorial,02 provincial / territorial,03 education,03 éducation,V5Z1E2,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.264208,-123.122937,VANCOUVER
Comité culturel fransaskois de Debden,01 regional,01 régional,01 community development,01 développement communautaire,S0J0S0,Big River 118 IRI,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Prince Albert,Prince Albert,Division No. 16,Division No. 16,Debden,,5,997,53.523947,-106.882188,DEBDEN
Comité Organisateur de la 33E Finale des Jeux de l'acadie 2012,03 interprovincial,03 interprovincial,08 sport and leisure,08 sports et loisirs,B0W3M0,Tusket,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Yarmouth,Yarmouth,Argyle,,6,998,43.864114,-65.933075,TUSKET
Comité Organisateur du Congrès Mondial Acadien 2014,05 international,05 international,02 culture,02 culture,E3V2S8,Edmundston,13,Atlantic Region,Région de l'Atlantique,New Brunswick,Nouveau-Brunswick,Edmundston - Woodstock,Edmundston - Woodstock,Madawaska,Madawaska,Edmundston,Edmundston,3,335,47.370568,-68.31938,EDMUNDSTON
Comité provincial des jeux de l'Acadie - région Nouvelle-Écosse,02 provincial / territorial,02 provincial / territorial,08 sport and leisure,08 sports et loisirs,B3S1A7,Halifax,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Halifax,Halifax,Halifax,Halifax,Halifax,Halifax,1,205,44.637575,-63.665329,HALIFAX
Comité Régional des Jeux de l'acadie de l'Île-du-Prince-Édouard,02 provincial / territorial,02 provincial / territorial,08 sport and leisure,08 sports et loisirs,C0B2E0,Abram-Village,11,Atlantic Region,Région de l'Atlantique,Prince Edward Island,Île-du-Prince-Édouard,Prince Edward Island,Ile-du-Prince-Édouard,Prince,Prince,Lot 15,,4,996,46.457727,-64.067373,WELLINGTON STATION
Commission nationale des parents francophones,04 national,04 national,03 education,03 éducation,K1G6C3,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.382401,-75.624189,OTTAWA
Committee d'action Place Lafontaine,01 regional,01 régional,01 community development,01 développement communautaire,L9M1R3,Penetanguishene,35,Ontario,Ontario,Ontario,Ontario,Kitchener - Waterloo - Barrie,Kitchener - Waterloo - Barrie,Simcoe,Simcoe,Tiny,,4,996,44.74447,-80.099645,PENETANGUISHENE
Committee for Anglophone Social Action,01 regional,01 régional,01 community development,01 développement communautaire,G0C1Z0,New Carlisle,24,Quebec,Québec,Quebec,Québec,Gaspésie - Iles-de-la-Madeleine,Gaspésie - Iles-de-la-Madeleine,Bonaventure,Bonaventure,New Carlisle,,6,998,48.00644,-65.350718,NEW CARLISLE
Community Health and Social Services Network,02 provincial / territorial,02 provincial / territorial,06 health and social services,06 services sociaux et de la santé,G1S2M4,Québec,24,Quebec,Québec,Quebec,Québec,Capitale-Nationale,Capitale-Nationale,Québec,Québec,Québec,Québec,1,421,46.796384,-71.250924,QUEBEC
Compagnie vox theâtre (Ottawa),01 regional,01 régional,02 culture,02 culture,K1N7M5,Ottawa,35,Ontario,Ontario,Ontario,Ontario,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa,Ottawa - Gatineau,1,505,45.43011,-75.68671,OTTAWA
Conseil acadien de Par-en-Bas,01 regional,01 régional,01 community development,01 développement communautaire,B0W3M0,Tusket,12,Atlantic Region,Région de l'Atlantique,Nova Scotia,Nouvelle-Écosse,Southern / Sud,Southern / Sud,Yarmouth,Yarmouth,Argyle,,6,998,43.864114,-65.933075,TUSKET
Conseil culturel et artistique francophone de la Colombie-Britannique,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,V6J1S1,Vancouver,59,Western Region,Région de l'Ouest,British Columbia,Colombie-Britannique,Lower Mainland - Southwest,Lower Mainland - Sud-ouest,Greater Vancouver,Greater Vancouver,Vancouver,Vancouver,1,933,49.265568,-123.139694,VANCOUVER
Conseil culturel fransaskois,02 provincial / territorial,02 provincial / territorial,02 culture,02 culture,S4P0J5,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.45051,-104.611502,REGINA
Conseil de développement économique des municipalités bilingues du Manitoba,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,R2H2P9,Winnipeg,46,Prairies/Territories Region,Région des Prairies et du Nord,Manitoba,Manitoba,Winnipeg,Winnipeg,Division No. 11,Division No. 11,Winnipeg,Winnipeg,1,602,49.895303,-97.109355,WINNIPEG
Conseil de la Cooperation de la Saskatchewan,02 provincial / territorial,02 provincial / territorial,05 economy,05 économie,S4P0J5,Regina,47,Prairies/Territories Region,Région des Prairies et du Nord,Saskatchewan,Saskatchewan,Regina - Moose Mountain,Regina - Moose Mountain,Division No. 6,Division No. 6,Regina,Regina,1,705,50.45051,-104.611502,REGINA
